#Servers,#Requests,#Crashes,#Partitions,Diameter,States Found,Distinct States,Duration,Exit Status,Warnings,Errors
3,2,0,3,44,371152,192763,00:00:32,Completed,0,0
3,2,2,2,72,66418832,34517132,00:31:42,Completed,0,0
3,2,3,0,69,3390917,1958584,00:05:26,Completed,0,0
3,3,0,2,44,336214,173241,00:00:25,Completed,0,0
3,3,0,3,57,13183587,5458172,00:07:39,Completed,0,0
3,3,1,1,56,3936262,1738979,00:02:35,Completed,0,0
3,3,2,0,61,5462435,2565277,00:07:40,Completed,0,0
3,3,3,0,80,113985487,50977255,01:25:50,Completed,0,0
3,3,3,3,33,3944365931,1949017251,>24:00:00,Not Completed,0,0
3,5,5,5,26,4920707266,2662734180,>24:00:00,Not Completed,0,0
,,,,,,,,,,,
TLA+ Toolbox version: v1.7.0 ,,,,,,,,,,,
,,,,,,,,,,,